n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,auc,logloss,accuracy,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
1000,100000,100,FALSE,1,0.001,1,100,15,hashing,0.789089,0.556827,0.71246,,,,,,,,,,33,5.80332,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,15,regbeddings,0.591738,0.680975,0.56639,0.96717,0.107546,0.509428,0.6272,,,0.00253376,,,28,5.02214,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,15,tabtransformer,0.769427,0.594983,0.69986,,,,,,,,,,16,14.7573,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,15,mmbeddings,0.782738,0.607923,0.70952,0.606174,0.109949,0.319284,0.6924,0.781233,,0.506214,,,104,11.7842,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,16,ignore,0.683322,0.647442,0.634,,,,,,,,,,71,8.4996,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,16,mean-encoding,0.701576,0.63344,0.64914,,,,,,,,,,69,8.53201,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,16,embeddings,0.819245,0.567494,0.74233,0.921801,0.186953,0.477787,0.828,,,0.0165822,,,43,6.47145,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,16,embeddings-l2,0.802029,0.550809,0.72788,0.989446,0.14277,0.512848,0.8144,,,0.000373485,,,55,5.81657,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,16,hashing,0.826732,0.540937,0.74442,,,,,,,,,,45,7.93428,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,16,regbeddings,0.709563,0.627254,0.65274,0.916203,0.17849,0.474885,0.8292,,,0.0202618,,,52,9.30087,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,16,tabtransformer,0.820779,0.601565,0.74762,,,,,,,,,,40,14.4658,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,16,mmbeddings,0.832763,0.620602,0.75575,0.668222,0.204272,0.346352,0.8384,0.827133,,0.33262,,,152,14.4968,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,17,ignore,0.708698,0.624894,0.65653,,,,,,,,,,55,5.60146,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,17,mean-encoding,0.71808,0.620022,0.6604,,,,,,,,,,64,7.46961,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,17,embeddings,0.788588,0.560249,0.71833,0.933972,0.0964043,0.535059,0.5876,,,0.0105342,,,28,5.10959,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,17,embeddings-l2,0.743189,0.600836,0.67894,0.99152,0.0405497,0.568027,0.524,,,0.000209058,,,44,6.25213,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,17,hashing,0.803415,0.542162,0.72473,,,,,,,,,,32,5.15524,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,17,regbeddings,0.677772,0.646597,0.63075,0.952288,0.119277,0.545552,0.5968,,,0.00532333,,,34,5.83079,2331,"[100, 100]","[10, 10]",10
